INFO 2020-08-02 13:46:08,257 basehttp 154 "GET /static/images/icons02.png HTTP/1.1" 200 3935
INFO 2020-08-02 13:46:08,258 basehttp 154 "GET /static/images/register_banner.png HTTP/1.1" 200 54894
WARNING 2020-08-02 13:46:08,336 log 222 Not Found: /image_code/883098f9-3d0a-4d41-875e-732da885aaad/
WARNING 2020-08-02 13:46:08,337 basehttp 154 "GET /image_code/883098f9-3d0a-4d41-875e-732da885aaad/ HTTP/1.1" 404 2265
WARNING 2020-08-02 13:46:08,394 basehttp 154 "GET /static/js/axios.min.map HTTP/1.1" 404 1672
INFO 2020-08-02 13:46:24,956 basehttp 154 "GET /users/register/ HTTP/1.1" 200 3540
INFO 2020-08-02 13:46:24,977 basehttp 154 "GET /static/css/reset.css HTTP/1.1" 200 638
INFO 2020-08-02 13:46:24,979 basehttp 154 "GET /static/css/main.css HTTP/1.1" 200 40091
INFO 2020-08-02 13:46:24,979 basehttp 154 "GET /static/js/common.js%20 HTTP/1.1" 200 891
INFO 2020-08-02 13:46:24,982 basehttp 154 "GET /static/js/register.js HTTP/1.1" 200 4278
INFO 2020-08-02 13:46:24,982 basehttp 154 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 200 12941
INFO 2020-08-02 13:46:24,985 basehttp 154 "GET /static/js/vue-2.5.16.js HTTP/1.1" 200 289307
INFO 2020-08-02 13:46:24,985 basehttp 154 "GET /static/images/1.png HTTP/1.1" 200 3555
INFO 2020-08-02 13:46:24,996 basehttp 154 "GET /static/images/interval_line.png HTTP/1.1" 200 1123
INFO 2020-08-02 13:46:24,997 basehttp 154 "GET /static/images/icons02.png HTTP/1.1" 200 3935
INFO 2020-08-02 13:46:24,998 basehttp 154 "GET /static/images/register_banner.png HTTP/1.1" 200 54894
WARNING 2020-08-02 13:46:25,056 basehttp 154 "GET /static/js/axios.min.map HTTP/1.1" 404 1672
WARNING 2020-08-02 13:46:25,058 log 222 Not Found: /image_code/70ea688d-970c-46a4-bc90-b0b39478ce4a/
WARNING 2020-08-02 13:46:25,059 basehttp 154 "GET /image_code/70ea688d-970c-46a4-bc90-b0b39478ce4a/ HTTP/1.1" 404 2265
INFO 2020-08-02 13:46:25,727 basehttp 154 "GET /users/register/ HTTP/1.1" 200 3540
INFO 2020-08-02 13:46:25,754 basehttp 154 "GET /static/css/reset.css HTTP/1.1" 200 638
INFO 2020-08-02 13:46:25,754 basehttp 154 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 200 12941
INFO 2020-08-02 13:46:25,755 basehttp 154 "GET /static/js/register.js HTTP/1.1" 200 4278
